Retrieved on 2018/10/09 from https://www.colordic.org/
color_code,color_name
#000000,black
#f0f8ff,aliceblue
#008b8b,darkcyan
#ffffe0,lightyellow
#ff7f50,coral
#696969,dimgray
#e6e6fa,lavender
#008080,teal
#fafad2,lightgoldenrodyellow
#ff6347,tomato
#808080,gray
#b0c4de,lightsteelblue
#2f4f4f,darkslategray
#fffacd,lemonchiffon
#ff4500,orangered
#a9a9a9,darkgray
#778899,lightslategray
#006400,darkgreen
#f5deb3,wheat
#ff0000,red
#c0c0c0,silver
#708090,slategray
#008000,green
#deb887,burlywood
#dc143c,crimson
#d3d3d3,lightgray
#4682b4,steelblue
#228b22,forestgreen
#d2b48c,tan
#c71585,mediumvioletred
#dcdcdc,gainsboro
#4169e1,royalblue
#2e8b57,seagreen
#f0e68c,khaki
#ff1493,deeppink
#f5f5f5,whitesmoke
#191970,midnightblue
#3cb371,mediumseagreen
#ffff00,yellow
#ff69b4,hotpink
#ffffff,white
#000080,navy
#66cdaa,mediumaquamarine
#ffd700,gold
#db7093,palevioletred
#fffafa,snow
#00008b,darkblue
#8fbc8f,darkseagreen
#ffa500,orange
#ffc0cb,pink
#f8f8ff,ghostwhite
#0000cd,mediumblue
#7fffd4,aquamarine
#f4a460,sandybrown
#ffb6c1,lightpink
#fffaf0,floralwhite
#0000ff,blue
#98fb98,palegreen
#ff8c00,darkorange
#d8bfd8,thistle
#faf0e6,linen
#1e90ff,dodgerblue
#90ee90,lightgreen
#daa520,goldenrod
#ff00ff,magenta
#faebd7,antiquewhite
#6495ed,cornflowerblue
#00ff7f,springgreen
#cd853f,peru
#ff00ff,fuchsia
#ffefd5,papayawhip
#00bfff,deepskyblue
#00fa9a,mediumspringgreen
#b8860b,darkgoldenrod
#ee82ee,violet
#ffebcd,blanchedalmond
#87cefa,lightskyblue
#7cfc00,lawngreen
#d2691e,chocolate
#dda0dd,plum
#ffe4c4,bisque
#87ceeb,skyblue
#7fff00,chartreuse
#a0522d,sienna
#da70d6,orchid
#ffe4b5,moccasin
#add8e6,lightblue
#adff2f,greenyellow
#8b4513,saddlebrown
#ba55d3,mediumorchid
#ffdead,navajowhite
#b0e0e6,powderblue
#00ff00,lime
#800000,maroon
#9932cc,darkorchid
#ffdab9,peachpuff
#afeeee,paleturquoise
#32cd32,limegreen
#8b0000,darkred
#9400d3,darkviolet
#ffe4e1,mistyrose
#e0ffff,lightcyan
#9acd32,yellowgreen
#a52a2a,brown
#8b008b,darkmagenta
#fff0f5,lavenderblush
#00ffff,cyan
#556b2f,darkolivegreen
#b22222,firebrick
#800080,purple
#fff5ee,seashell
#00ffff,aqua
#6b8e23,olivedrab
#cd5c5c,indianred
#4b0082,indigo
#fdf5e6,oldlace
#40e0d0,turquoise
#808000,olive
#bc8f8f,rosybrown
#483d8b,darkslateblue
#fffff0,ivory
#48d1cc,mediumturquoise
#bdb76b,darkkhaki
#e9967a,darksalmon
#8a2be2,blueviolet
#f0fff0,honeydew
#00ced1,darkturquoise
#eee8aa,palegoldenrod
#f08080,lightcoral
#9370db,mediumpurple
#f5fffa,mintcream
#20b2aa,lightseagreen
#fff8dc,cornsilk
#fa8072,salmon
#6a5acd,slateblue
#f0ffff,azure
#5f9ea0,cadetblue
#f5f5dc,beige
#ffa07a,lightsalmon
#7b68ee,mediumslateblue
