station_code,line_code,index,numbering,impl
100201,1002,1,NULL,1
100202,1002,2,NULL,1
100203,1002,3,NULL,1
100204,1002,4,NULL,1
100205,1002,5,NULL,1
100206,1002,6,NULL,1
100207,1002,7,NULL,1
100208,1002,8,NULL,1
100209,1002,9,NULL,1
100210,1002,10,NULL,1
100211,1002,11,NULL,1
100212,1002,12,NULL,1
100213,1002,13,NULL,1
100214,1002,14,NULL,1
100215,1002,15,NULL,1
100216,1002,16,NULL,1
100217,1002,17,NULL,1
100217,1003,1,NULL,1
100302,1003,2,NULL,1
100303,1003,3,NULL,1
100304,1003,4,NULL,1
100305,1003,5,NULL,1
100306,1003,6,NULL,1
100307,1003,7,NULL,1
100308,1003,8,NULL,1
100309,1003,9,NULL,1
100310,1003,10,NULL,1
100311,1003,11,NULL,1
100312,1003,12,NULL,1
100313,1003,13,NULL,1
100314,1003,14,NULL,1
100315,1003,15,NULL,1
100316,1003,16,NULL,1
100317,1003,17,NULL,1
100318,1003,18,NULL,1
100319,1003,19,NULL,1
100201,1004,1,NULL,1
100402,1004,2,NULL,1
100403,1004,3,NULL,1
100404,1004,4,NULL,1
100405,1004,5,NULL,1
100406,1004,6,NULL,1
100407,1004,7,NULL,1
100408,1004,8,NULL,1
100409,1004,9,NULL,1
100410,1004,10,NULL,1
100411,1004,11,NULL,1
100412,1004,12,NULL,1
100413,1004,13,NULL,1
100414,1004,14,NULL,1
100415,1004,15,NULL,1
100416,1004,16,NULL,1
100417,1004,17,NULL,1
100418,1004,18,NULL,1
100419,1004,19,NULL,1
100420,1004,20,NULL,1
100421,1004,21,NULL,1
100422,1004,22,NULL,1
100423,1004,23,NULL,1
100201,1005,1,NULL,1
100402,1005,2,NULL,1
100403,1005,3,NULL,1
100504,1005,4,NULL,1
100505,1005,5,NULL,1
100506,1005,6,NULL,1
100507,1005,7,NULL,1
100508,1005,8,NULL,1
100509,1005,9,NULL,1
100510,1005,10,NULL,1
100511,1005,11,NULL,1
100512,1005,12,NULL,1
100508,1006,1,NULL,1
100602,1006,2,NULL,1
100506,1009,1,NULL,1
100902,1009,2,NULL,1
100903,1009,3,NULL,1
100904,1009,4,NULL,1
100905,1009,5,NULL,1
100906,1009,6,NULL,1
100907,1009,7,NULL,1
100908,1009,8,NULL,1
100909,1009,9,NULL,1
100910,1009,10,NULL,1
100911,1009,11,NULL,1
100912,1009,12,NULL,1
100913,1009,13,NULL,1
100319,1010,1,NULL,1
101002,1010,2,NULL,1
101003,1010,3,NULL,1
101004,1010,4,NULL,1
101005,1010,5,NULL,1
101006,1010,6,NULL,1
101007,1010,7,NULL,1
101008,1010,8,NULL,1
101009,1010,9,NULL,1
101010,1010,10,NULL,1
