code,name,size
01,北海道,559
02,青森県,172
03,岩手県,196
04,宮城県,179
05,秋田県,148
06,山形県,120
07,福島県,188
08,茨城県,131
09,栃木県,115
10,群馬県,134
11,埼玉県,227
12,千葉県,334
13,東京都,659
14,神奈川県,347
15,新潟県,198
16,富山県,183
17,石川県,72
18,福井県,139
19,山梨県,72
20,長野県,266
21,岐阜県,185
22,静岡県,215
23,愛知県,478
24,三重県,228
25,滋賀県,116
26,京都府,240
27,大阪府,485
28,兵庫県,369
29,奈良県,127
30,和歌山県,120
31,鳥取県,81
32,島根県,118
33,岡山県,177
34,広島県,253
35,山口県,152
36,徳島県,80
37,香川県,100
38,愛媛県,148
39,高知県,168
40,福岡県,349
41,佐賀県,78
42,長崎県,135
43,熊本県,156
44,大分県,85
45,宮崎県,76
46,鹿児島県,141
47,沖縄県,22
