name,name_kana,prefecture,attr
函館,はこだて,1,eco
函館駅前,はこだてえきまえ,1,heat
五稜郭,ごりょうかく,1,eco
桔梗,ききょう,1,heat
大中山,おおなかやま,1,heat
七飯,ななえ,1,heat
新函館北斗,しんはこだてほくと,1,eco
仁山,にやま,1,heat
大沼,おおぬま,1,heat
大沼公園,おおぬまこうえん,1,cool
赤井川,あかいがわ,1,cool
駒ヶ岳,こまがたけ,1,cool
池田園,いけだえん,1,cool
流山温泉,ながれやまおんせん,1,cool
銚子口,ちょうしぐち,1,cool
鹿部,しかべ,1,cool
渡島沼尻,おしまぬまじり,1,cool
渡島砂原,おしまさはら,1,cool
掛澗,かかりま,1,eco
尾白内,おしろない,1,eco
東森,ひがしもり,1,eco
森(北海道),もり,1,eco
石谷,いしや,1,eco
本石倉,ほんいしくら,1,eco
石倉,いしくら,1,eco
落部,おとしべ,1,eco
野田生,のだおい,1,eco
山越,やまこし,1,eco
八雲,やくも,1,eco
山崎(北海道),やまさき,1,eco
黒岩,くろいわ,1,eco
国縫,くんぬい,1,eco
中ノ沢,なかのさわ,1,eco
長万部,おしゃまんべ,1,eco
二股,ふたまた,1,eco
黒松内,くろまつない,1,eco
熱郛,ねっぷ,1,eco
目名,めな,1,eco
蘭越,らんこし,1,heat
昆布,こんぶ,1,heat
ニセコ,にせこ,1,heat
比羅夫,ひらふ,1,heat
倶知安,くっちゃん,1,heat
小沢,こざわ,1,heat
銀山,ぎんざん,1,cool
然別,しかりべつ,1,cool
仁木,にき,1,cool
余市,よいち,1,cool
蘭島,らんしま,1,cool
塩谷,しおや,1,cool
小樽,おたる,1,cool
南小樽,みなみおたる,1,cool
小樽築港,おたるちっこう,1,cool
朝里,あさり,1,cool
銭函,ぜにばこ,1,cool
ほしみ,ほしみ,1,cool
星置,ほしおき,1,cool
稲穂,いなほ,1,cool
手稲,ていね,1,eco
稲積公園,いなづみこうえん,1,eco
発寒,はっさむ,1,eco
発寒中央,はっさむちゅうおう,1,eco
琴似(JR),ことに,1,eco
桑園,そうえん,1,eco
札幌,さっぽろ,1,eco
さっぽろ,さっぽろ,1,heat
苗穂,なえぼ,1,eco
白石(JR),しろいし,1,eco
厚別,あつべつ,1,eco
森林公園(北海道),しんりんこうえん,1,eco
