code,name,ekimemo
1110101,函館,1
9910517,函館駅前,6357
1110102,五稜郭,2
1110103,桔梗,3
1110104,大中山,4
1110105,七飯,5
101104,新函館北斗,6
1110107,仁山,7
1110108,大沼,8
1110109,大沼公園,9
1110110,赤井川,10
1110111,駒ヶ岳,11
1110112,東山(北海道),12
1110113,姫川(北海道),13
1110114,池田園,14
1110115,流山温泉,15
1110116,銚子口,16
1110117,鹿部,17
1110118,渡島沼尻,18
1110119,渡島砂原,19
1110120,掛澗,20
1110121,尾白内,21
1110122,東森,22
1110123,森(北海道),23
1110124,桂川(北海道),24
1110125,石谷,25
1110126,本石倉,26
1110127,石倉,27
1110128,落部,28
1110129,野田生,29
1110130,山越,30
1110131,八雲,31
1110132,鷲ノ巣,32
1110133,山崎(北海道),33
1110134,黒岩,34
1110135,北豊津,35
1110136,国縫,36
1110137,中ノ沢,37
1110138,長万部,38
1110202,二股,39
1110203,蕨岱,40
1110204,黒松内,41
1110205,熱郛,42
1110206,目名,43
1110207,蘭越,44
1110208,昆布,45
1110209,ニセコ,46
1110210,比羅夫,47
1110211,倶知安,48
1110212,小沢,49
1110213,銀山,50
1110214,然別,51
1110215,仁木,52
1110216,余市,53
1110217,蘭島,54
1110218,塩谷,55
1110219,小樽,56
1110302,南小樽,57
1110303,小樽築港,58
1110304,朝里,59
1110305,銭函,60
1110306,ほしみ,61
1110307,星置,62
1110308,稲穂,63
1110309,手稲,64
1110310,稲積公園,65
1110311,発寒,66
1110312,発寒中央,67
1110313,琴似(JR),68
1110314,桑園,69
1110315,札幌,70
9910206,さっぽろ,6305
1110316,苗穂,71
1110317,白石(JR),72
1110318,厚別,73
1110319,森林公園(北海道),74
1110320,大麻,75
1110321,野幌,76
1110322,高砂(北海道),77
1110323,江別,78
1110324,豊幌,79
1110325,幌向,80
1110326,上幌向,81
1110327,岩見沢,82
1110328,峰延,83
1110329,光珠内,84
1110331,美唄,85
1110332,茶志内,86
1110333,奈井江,87
1110334,豊沼,88
1110335,砂川,89
1110340,滝川,90
1110341,江部乙,91
1110342,妹背牛,92
1110343,深川,93
1110344,納内,94
1110345,神居古潭,9337
1110346,伊納,95
1110347,近文,96
1110348,旭川,97
1110402,静狩,98
1110403,小幌,99
1110404,礼文,100
1110405,大岸,101
1110406,豊浦,102
1110407,洞爺,103
1110408,有珠,104
1110409,長和,105
1110410,伊達紋別,106
1110411,北舟岡,107
1110412,稀府,108
1110413,黄金(北海道),109
1110414,崎守,110
1110415,本輪西,111
1110416,室蘭,112
1110417,母恋,113
1110418,御崎,114
1110419,輪西,115
1110420,東室蘭,116
1110421,鷲別,117
1110422,幌別,118
1110423,富浦(北海道),119
1110424,登別,120
1110425,虎杖浜,121
1110426,竹浦,122
1110427,北吉原,123
1110428,萩野,124
1110429,白老,125
1110430,社台,126
1110431,錦岡,127
1110432,糸井,128
1110433,青葉,129
1110434,苫小牧,130
1110502,沼ノ端,131
1110503,遠浅,132
1110504,早来,133
1110505,安平,134
1110506,追分(北海道),135
1110507,三川(北海道),136
1110508,古山,137
1110509,由仁,138
1110510,栗山,139
1110511,栗丘,140
1110512,栗沢,141
1110513,志文,142
1110602,東滝川,143
1110603,赤平,144
1110604,茂尻,145
1110605,平岸(JR),146
1110606,芦別,147
1110607,上芦別,148
1110608,野花南,149
1110609,島ノ下,150
1110610,富良野,151
1110611,布部,152
1110612,山部,153
1110613,下金山,154
1110614,金山(北海道),155
1110615,東鹿越,156
1110616,幾寅,157
1110617,落合(北海道),158
1110618,新得,159
1110702,十勝清水,160
1110703,羽帯,161
1110704,御影(北海道),162
1110705,芽室,163
1110706,大成,164
1110707,西帯広,165
1110708,柏林台,166
1110709,帯広,167
1110710,札内,168
1110711,稲士別,169
1110712,幕別,170
1110713,利別,171
1110714,池田(北海道),172
1110715,十弗,173
1110716,豊頃,174
1110717,新吉野,175
1110718,浦幌,176
1110719,上厚内,177
1110720,厚内,178
1110721,直別,179
1110722,尺別,180
1110723,音別,181
1110724,古瀬,182
1110725,白糠,183
1110726,西庶路,184
1110727,庶路,185
1110728,大楽毛,186
1110729,新大楽毛,187
1110730,新富士(北海道),188
1110731,釧路,189
1110802,東釧路,190
1110803,武佐(北海道),191
1110804,別保,192
1110805,上尾幌,193
1110806,尾幌,194
1110807,門静,195
1110808,厚岸,196
1110809,糸魚沢,197
1110810,茶内,198
1110811,浜中,199
1110812,姉別,200
1110813,厚床,201
1110814,初田牛,202
1110815,別当賀,203
1110816,落石,204
1110817,昆布盛,205
1110818,西和田,206
1110819,花咲,207
1110820,東根室,208
1110821,根室,209
1110903,植苗,210
1110904,美々,211
1110905,新千歳空港,212
1110906,南千歳,213
1110907,千歳(北海道),214
1110908,長都,215
1110909,サッポロビール庭園,216
1110910,恵庭,217
1110911,恵み野,218
1110912,島松,219
1110913,北広島,220
1110914,上野幌,221
1110915,新札幌,222
9910119,新さっぽろ,6283
1110916,平和,223
1111003,東追分,224
1111004,川端,225
1111005,滝ノ上,226
1111006,十三里,227
1111007,新夕張,228
1111008,沼ノ沢,229
1111009,南清水沢,230
1111010,清水沢,231
1111011,鹿ノ谷,232
1111012,夕張,233
1111015,占冠,234
1111016,トマム,235
1111102,勇払,236
1111103,浜厚真,237
1111104,浜田浦,238
1111105,鵡川,239
1111106,汐見,240
1111107,富川,241
1111108,日高門別,242
1111109,豊郷(北海道),243
1111110,清畠,244
1111111,厚賀,245
1111112,大狩部,246
1111113,節婦,247
1111114,新冠,248
1111115,静内,249
1111117,東静内,250
1111118,春立,251
1111119,日高東別,252
1111120,日高三石,253
1111121,蓬栄,254
1111122,本桐,255
1111123,荻伏,256
1111124,絵笛,257
1111125,浦河,258
1111126,東町,259
1111127,日高幌別,260
1111128,鵜苫,261
1111129,西様似,262
1111130,様似,263
1111203,八軒,264
1111204,新川(北海道),265
1111205,新琴似,266
1111206,太平,267
1111207,百合が原,268
1111208,篠路,269
1111209,拓北,270
1111210,あいの里教育大,271
1111211,あいの里公園,272
1111212,ロイズタウン,9382
1111213,太美,273
1111214,当別,274
1111215,北海道医療大学,275
1111216,石狩金沢,276
1111217,本中小屋,277
1111218,中小屋,278
1111219,月ヶ岡,279
1111220,知来乙,280
1111221,石狩月形,281
1111222,豊ヶ岡,282
1111223,札比内,283
1111224,晩生内,284
1111225,札的,285
1111226,浦臼,286
1111227,鶴沼,287
1111228,於札内,288
1111229,南下徳富,289
1111230,下徳富,290
1111231,新十津川,291
1111302,北一已,292
1111303,秩父別,293
1111304,北秩父別,294
1111305,石狩沼田,295
1111306,真布,296
1111307,恵比島,297
1111308,峠下,298
1111309,幌糠,299
1111310,藤山,300
1111311,大和田(北海道),301
1111312,留萌,302
