,NULL,志井公園,志井公園,,33.818270,130.879725
,NULL,池尻,池尻,,33.613005,130.805805
,NULL,後藤寺,後藤寺,,33.630360,130.800215
,NULL,西添田,西添田,,33.573375,130.847150
,NULL,一本松,一本松,,33.656010,130.835505
,NULL,豊前川崎,豊前川崎,,33.596745,130.822115
,NULL,歓遊舎ひこさん,歓遊舎ひこさん,,33.555061,130.859306
,NULL,城野,城野,,33.858045,130.886370
,NULL,石田,石田,,33.832185,130.889145
,NULL,志井,志井,,33.803875,130.874805
,NULL,石原町,石原町,,33.784665,130.866005
,NULL,呼野,呼野,,33.755050,130.861940
,NULL,採銅所,採銅所,,33.707350,130.853135
,NULL,香春,香春,,33.665935,130.846900
,NULL,伊田,伊田,,33.642106,130.817777
,NULL,田川後藤寺,田川後藤寺,,33.630360,130.800215
,NULL,豊前桝田,豊前桝田,,33.535800,130.862240
,NULL,彦山,彦山,,33.500730,130.869040
,NULL,筑前岩屋,筑前岩屋,,33.430780,130.881560
,NULL,添田,添田,,33.567320,130.856520
,NULL,宝珠山,宝珠山,,33.378850,130.879470
,NULL,夜明,夜明,,33.319595,130.866215
,NULL,大鶴,大鶴,,33.366980,130.885480
,NULL,今山,今山,,33.345145,130.876935
,NULL,大行司,大行司,,33.396900,130.874740
,NULL,田川伊田,田川伊田,,33.642106,130.817777
,NULL,城野,城野,,33.858045,130.886370
,NULL,豊前桝田,豊前桝田,,33.535800,130.862240
,NULL,筑前岩屋,筑前岩屋,,33.430780,130.881560
,NULL,彦山,彦山,,33.500730,130.869040
,NULL,伊田,伊田,,33.642106,130.817777
,NULL,上伊田,上伊田,,33.648085,130.833507
,NULL,今任,今任,,33.631210,130.843551
,NULL,大任,大任,,33.602048,130.856889
,NULL,伊原,伊原,,33.583025,130.855075
,NULL,石田,石田,,33.832185,130.889145
,NULL,志井,志井,,33.803875,130.874805
,NULL,石原町,石原町,,33.784665,130.866005
,NULL,呼野,呼野,,33.755050,130.861940
,NULL,採銅所,採銅所,,33.707350,130.853135
,NULL,香春,香春,,33.665935,130.846900
,NULL,大行司,大行司,,33.396900,130.874740
,NULL,宝珠山,宝珠山,,33.378850,130.879470
,NULL,大鶴,大鶴,,33.366980,130.885480
,NULL,今山,今山,,33.345145,130.876935
,NULL,夜明,夜明,,33.319595,130.866215
,NULL,添田,添田,,33.567320,130.856520
,NULL,香春,香春,,33.665935,130.846900
,NULL,上伊田,上伊田,,33.648085,130.833507
,NULL,今任,今任,,33.631210,130.843551
,NULL,大任,大任,,33.602048,130.856889
,NULL,伊原,伊原,,33.583025,130.855075
,NULL,添田,添田,,33.567320,130.856520
,NULL,志井,志井,,33.803875,130.874805
,NULL,石田,石田,,33.832185,130.889145
,NULL,採銅所,採銅所,,33.707350,130.853135
,NULL,呼野,呼野,,33.755050,130.861940
,NULL,石原町,石原町,,33.784665,130.866005
,NULL,上伊田,上伊田,,33.648085,130.833507
,NULL,今任,今任,,33.631210,130.843551
,NULL,大任,大任,,33.602048,130.856889
,NULL,伊原,伊原,,33.583025,130.855075
,NULL,妙見,妙見,,33.868470,130.895564
,NULL,添田,添田,,33.567320,130.856520
,NULL,香春,香春,,33.665935,130.846900
