code,id,name,name_kana,name_formal,station_size,company_code,color,symbol,closed,closed_date,impl
1002,0096b0,東海道新幹線,とうかいどうしんかんせん,NULL,17,3,#0000FF,NULL,0,NULL,1
1003,4c9e90,山陽新幹線,さんようしんかんせん,NULL,19,4,#0000FF,NULL,0,NULL,1
1004,a719bd,東北新幹線,とうほくしんかんせん,NULL,23,2,#008000,NULL,0,NULL,1
1005,d4a3f7,上越新幹線,じょうえつしんかんせん,NULL,12,2,NULL,NULL,0,NULL,1
1006,0dd500,上越新幹線(上越線),じょうえつしんかんせん(じょうえつせん),上越新幹線(ガーラ湯沢支線),2,2,#00B3E6,NULL,0,NULL,1
1009,4e16d0,北陸新幹線,ほくりくしんかんせん,NULL,13,2,NULL,NULL,0,NULL,1
1010,6b44b9,九州新幹線,きゅうしゅうしんかんせん,NULL,12,6,#FF0000,NULL,0,NULL,1
1011,444fde,北海道新幹線,ほっかいどうしんかんせん,NULL,4,1,#2BC431,NULL,0,NULL,1
11101,aaa21c,JR函館本線(函館～長万部),じぇいあーるはこだてほんせん,NULL,38,1,#0072BC,NULL,0,NULL,1
11102,1eb104,JR函館本線(長万部～小樽),じぇいあーるはこだてほんせん,NULL,19,1,#ED1C23,S,0,NULL,1
11103,1f0306,JR函館本線(小樽～旭川),じぇいあーるはこだてほんせん,NULL,48,1,NULL,NULL,0,NULL,1
11104,823dfb,JR室蘭本線(長万部・室蘭～苫小牧),じぇいあーるむろらんほんせん,NULL,34,1,#0072BC,NULL,0,NULL,1
11105,96c7b5,JR室蘭本線(苫小牧～岩見沢),じぇいあーるむろらんほんせん,NULL,14,1,NULL,NULL,0,NULL,1
11106,60fdd0,JR根室本線(滝川～新得),じぇいあーるねむろほんせん,NULL,18,1,#F6989D,T,0,NULL,1
11107,17d497,JR根室本線(新得～釧路),じぇいあーるねむろほんせん,NULL,31,1,#8CC63E,K,0,NULL,1
11108,1ed5e3,JR根室本線(花咲線)(釧路～根室),じぇいあーるねむろほんせん(はなせきせん),JR根室本線(釧路～根室),21,1,NULL,NULL,0,NULL,1
11109,e4b697,JR千歳線,じぇいあーるちとせせん,NULL,22,1,NULL,NULL,0,NULL,1
11110,a8d423,JR石勝線,じぇいあーるせきしょうせん,NULL,15,1,#8CC63E,NULL,0,NULL,1
11111,2f359f,JR日高本線,じぇいあーるひだかほんせん,NULL,29,1,NULL,NULL,0,NULL,1
11112,f32e7c,JR札沼線,じぇいあーるさっしょうせん,NULL,42,1,#00A54F,NULL,0,NULL,1
11113,a45680,JR留萌本線,じぇいあーるるもいほんせん,NULL,20,1,NULL,NULL,0,NULL,1
11114,a2d866,JR富良野線,じぇいあーるふらのせん,NULL,18,1,#AA5EA6,F,0,NULL,1
11115,19f8a4,JR宗谷本線,じぇいあーるそうやほんせん,NULL,53,1,#954A35,NULL,0,NULL,1
11116,5c7488,JR石北本線,じぇいあーるせきほくほんせん,NULL,42,1,#F7931D,A,0,NULL,1
11117,1dc0f0,JR釧網本線,じぇいあーるせんもうほんせん,NULL,28,1,#EF59A1,NULL,0,NULL,1
11118,4030c3,JR海峡線,じぇいあーるかいきょうせん,NULL,5,1,#0099FF,NULL,1,2016-03-26,1
11119,0030da,JR江差線,じぇいあーるえさしせん,NULL,22,1,NULL,NULL,1,2016-03-26,1
11201,e27da6,JR東北本線(八戸～青森),じぇいあーるとうほくほんせん,NULL,20,2,#008000,NULL,1,2010-12-04,1
11202,0494a8,JR奥羽本線(新庄～青森),じぇいあーるおううほんせん,NULL,67,2,#FF6600,NULL,0,NULL,1
11231,6d00c9,JR東北本線(黒磯～利府・盛岡),じぇいあーるとうほくほんせん,NULL,85,2,#3CB371,NULL,0,NULL,1
11203,ddb025,JR大湊線(はまなすベイライン大湊線),じぇいあーるおおみなとせん,JR大湊線,11,2,#F1AA28,NULL,0,NULL,1
11204,0fd853,JR五能線,じぇいあーるごのうせん,NULL,43,2,#0C7AAD,NULL,0,NULL,1
11205,6d21eb,JR津軽線,じぇいあーるつがるせん,NULL,18,2,#15A2C4,NULL,0,NULL,1
11206,c2efc5,JR八戸線,じぇいあーるはちのへせん,NULL,24,2,#E93920,NULL,0,NULL,1
11207,0597e3,JR岩泉線,じぇいあーるいわいずみせん,NULL,9,2,#808080,NULL,1,2014-04-01,1
11208,8cbf9c,JR大船渡線(ドラゴンレール大船渡線),じぇいあーるおおふなとせん,JR大船渡線,39,2,#F18E44,NULL,0,NULL,1
11209,7b973e,JR釜石線(銀河ドリームライン釜石線),じぇいあーるかまいしせん,JR釜石線,24,2,#0073BF,NULL,0,NULL,1
11210,862068,JR北上線,じぇいあーるきたかみせん,NULL,17,2,#851A72,NULL,0,NULL,1
11211,02c554,JR田沢湖線,じぇいあーるたざわこせん,NULL,17,2,#9D72B0,NULL,0,NULL,1
11212,11653a,JR花輪線(十和田八幡平四季彩ライン),じぇいあーるはなわせん(とわだはちまんたいしきさいらいん),JR花輪線,27,2,#FF0000,NULL,0,NULL,1
11213,0de295,JR山田線,じぇいあーるやまだせん,NULL,18,2,#CD7A1E,NULL,0,NULL,1
11214,ca35da,JR羽越本線,じぇいあーるうえつほんせん,NULL,60,2,#75C8FF,NULL,0,NULL,1
11215,7d26f1,JR男鹿線,じぇいあーるおがせん,NULL,9,2,#36823E,NULL,0,NULL,1
11216,e4029b,JR奥羽本線(山形線)(福島～新庄),じぇいあーるおううほんせん,JR奥羽本線(福島～新庄),36,2,#FFA030,NULL,0,NULL,1
11217,e1c3cf,JR仙山線,じぇいあーるせんざんせん,NULL,20,2,#72BC4A,NULL,0,NULL,1
11218,a0f0a8,JR左沢線(フルーツライン左沢線),じぇいあーるあてらざわせん(ふるーつらいんあてらざわせん),JR左沢線,12,2,#0073BF,NULL,0,NULL,1
11219,85eecb,JR米坂線,じぇいあーるよねさかせん,NULL,20,2,#9E7EB9,NULL,0,NULL,1
11220,1c6980,JR陸羽西線(奥の細道最上川ライン),じぇいあーるりくうさいせん(おくのほそみちもがみがわらいん),JR陸羽西線,10,2,#6FBF7F,NULL,0,NULL,1
11221,9c74cc,JR陸羽東線(奥の細道湯けむりライン),じぇいあーるりくうとうせん(おくのほそみちゆけむりらいん),JR陸羽東線,27,2,#888888,NULL,0,NULL,1
11222,8ad2ff,JR仙石線,じぇいあーるせんせきせん,NULL,32,2,#00AAEE,NULL,0,NULL,1
11223,4ed3cd,JR石巻線,じぇいあーるいしのまきせん,NULL,14,2,#ED77A4,NULL,0,NULL,1
11224,b999b1,JR気仙沼線,じぇいあーるけせんぬません,NULL,27,2,NULL,NULL,0,NULL,1
11225,c7cf37,JR磐越西線(郡山～会津若松),じぇいあーるばんえつさいせん,NULL,16,2,#CB7B35,NULL,0,NULL,1
