line_cd,station_cd1,station_cd2
1002,100201,100202
1002,100202,100203
1002,100203,100204
1002,100204,100205
1002,100205,100206
1002,100206,100207
1002,100207,100208
1002,100208,100209
1002,100209,100210
1002,100210,100211
1002,100211,100212
1002,100212,100213
1002,100213,100214
1002,100214,100215
1002,100215,100216
1002,100216,100217
1003,100301,100302
1003,100302,100303
1003,100303,100304
1003,100304,100305
1003,100305,100306
1003,100306,100307
1003,100307,100308
1003,100308,100309
1003,100309,100310
1003,100310,100311
1003,100311,100312
1003,100312,100313
1003,100313,100314
1003,100314,100315
1003,100315,100316
1003,100316,100317
1003,100317,100318
1003,100318,100319
1004,100401,100402
1004,100402,100403
1004,100403,100404
1004,100404,100405
1004,100405,100406
1004,100406,100407
1004,100407,100408
1004,100408,100409
1004,100409,100410
1004,100410,100411
1004,100411,100412
1004,100412,100413
1004,100413,100414
1004,100414,100415
1004,100415,100416
1004,100416,100417
1004,100417,100418
1004,100418,100419
1004,100419,100420
1004,100420,100421
1004,100421,100422
1004,100422,100423
1005,100501,100502
1005,100502,100503
1005,100503,100504
1005,100504,100505
1005,100505,100506
1005,100506,100507
1005,100507,100508
1005,100508,100509
1005,100509,100510
1005,100510,100511
1005,100511,100512
1006,100601,100602
1007,100701,100702
1007,100702,100703
1007,100703,100704
1007,100704,100705
1007,100705,100706
1007,100706,100707
1007,100707,100708
1007,100708,100709
1007,100709,100710
1007,100710,100711
1007,100711,100712
1007,100712,100713
1007,100713,100714
1007,100714,100715
1007,100715,100716
1007,100716,100717
1007,100717,100718
1007,100718,100719
1008,100801,100802
1008,100802,100803
1008,100803,100804
1008,100804,100805
1008,100805,100806
1008,100806,100807
1008,100807,100808
1008,100808,100809
1008,100809,100810
1008,100810,100811
1008,100811,100812
1008,100812,100813
1008,100813,100814
1008,100814,100815
1008,100815,100816
1008,100816,100817
1008,100817,100818
1008,100818,100819
1008,100819,100820
1008,100820,100821
1008,100821,100822
1008,100822,100823
1009,100901,100902
1009,100902,100903
1009,100903,100904
1009,100904,100905
1009,100905,100906
1009,100906,100907
1009,100907,100908
1009,100908,100909
1009,100909,100910
1009,100910,100911
1009,100911,100912
1009,100912,100913
1009,100913,100914
1009,100914,100915
1009,100915,100916
1009,100916,100917
1009,100917,100918
1010,101001,101002
1010,101002,101003
1010,101003,101004
1010,101004,101005
1010,101005,101006
1010,101006,101007
1010,101007,101008
1010,101008,101009
1010,101009,101010
1010,101010,101011
1010,101011,101012
1011,101101,101102
1011,101102,101103
1011,101103,101104
1011,101104,101105
1011,101105,101106
1011,101106,101107
1011,101107,101108
1011,101108,101109
11101,1110101,1110102
11101,1110102,1110103
11101,1110103,1110104
11101,1110104,1110105
11101,1110105,1110106
11101,1110105,1110108
11101,1110106,1110107
11101,1110107,1110108
11101,1110108,1110109
11101,1110108,1110114
11101,1110109,1110110
11101,1110110,1110111
11101,1110111,1110123
11101,1110114,1110115
11101,1110115,1110116
11101,1110116,1110117
11101,1110117,1110118
11101,1110118,1110119
11101,1110119,1110120
11101,1110120,1110121
11101,1110121,1110122
11101,1110122,1110123
11101,1110123,1110125
11101,1110125,1110126
11101,1110126,1110127
11101,1110127,1110128
11101,1110128,1110129
11101,1110129,1110130
11101,1110130,1110131
11101,1110131,1110133
11101,1110133,1110134
11101,1110134,1110136
11101,1110136,1110137
11101,1110137,1110138
11102,1110201,1110202
11102,1110202,1110204
11102,1110204,1110205
11102,1110205,1110206
11102,1110206,1110207
11102,1110207,1110208
11102,1110208,1110209
11102,1110209,1110210
11102,1110210,1110211
11102,1110211,1110212
11102,1110212,1110213
11102,1110213,1110214
11102,1110214,1110215
11102,1110215,1110216
11102,1110216,1110217
11102,1110217,1110218
11102,1110218,1110219
11103,1110301,1110302
11103,1110302,1110303
11103,1110303,1110304
11103,1110304,1110305
11103,1110305,1110306
11103,1110306,1110307
11103,1110307,1110308
11103,1110308,1110309
11103,1110309,1110310
11103,1110310,1110311
11103,1110311,1110312
11103,1110312,1110313
11103,1110313,1110314
11103,1110314,1110315
11103,1110315,1110316
11103,1110316,1110317
11103,1110317,1110318
11103,1110318,1110319
11103,1110319,1110320
11103,1110320,1110321
11103,1110321,1110322
11103,1110322,1110323
11103,1110323,1110324
11103,1110324,1110325
11103,1110325,1110326
11103,1110326,1110327
11103,1110327,1110328
11103,1110328,1110329
11103,1110329,1110330
11103,1110330,1110331
11103,1110331,1110332
11103,1110332,1110333
11103,1110333,1110334
11103,1110334,1110335
11103,1110335,1110336
11103,1110336,1110337
11103,1110337,1110338
11103,1110338,1110339
11103,1110339,1110340
11103,1110340,1110341
11103,1110341,1110342
11104,1110401,1110402
11104,1110402,1110403
11104,1110403,1110404
11104,1110404,1110405
11104,1110405,1110406
11104,1110406,1110407
11104,1110407,1110408
11104,1110408,1110409
11104,1110409,1110410
11104,1110410,1110411
11104,1110411,1110412
11104,1110412,1110413
11104,1110413,1110414
11104,1110414,1110415
