line_cd,company_cd,line_name,line_name_k,line_name_h,line_color_c,line_color_t,line_type,lon,lat,zoom,e_status,e_sort
1001,3,中央新幹線,チュウオウシンカンセン,中央新幹線,,,,137.493896484375,35.411438052435486,8,1,1001
1002,3,東海道新幹線,トウカイドウシンカンセン,東海道新幹線,,,,137.72148868198997,35.144121935482794,7,0,1002
1003,4,山陽新幹線,サンヨウシンカンセン,山陽新幹線,,,,133.14789611677998,34.41933769953404,7,0,1003
1004,2,東北新幹線,トウホクシンカンセン,東北新幹線,,,,140.76319219429,38.27426693928412,7,0,1004
1005,2,上越新幹線,ジョウエツシンカンセン,上越新幹線,,,,139.12148795051746,36.798564726932156,8,0,1005
1006,2,上越新幹線(ガーラ湯沢支線),ジョウエツシンカンセン,上越新幹線(ガーラ湯沢支線),,,,138.80325037829584,36.9428821124426,14,0,1006
1007,2,山形新幹線,ヤマガタシンカンセン,山形新幹線,,,,140.16847776150996,37.58820880985216,8,0,1007
1008,2,秋田新幹線,アキタシンカンセン,秋田新幹線,,,,140.36225377377502,37.75728895294477,7,0,1008
1009,2,北陸新幹線,ホクリクシンカンセン,北陸新幹線,,,,138.0356976762414,36.18598137398552,8,0,1009
1010,6,九州新幹線,キュウシュウシンカンセン,九州新幹線,,,,130.5768237942675,32.794280023118354,8,0,1010
1011,1,北海道新幹線,ホッカイドウシンカンセン,北海道新幹線,,,,140.64422607421875,42.094146370922736,7,0,1011
11101,1,JR函館本線(函館～長万部),ハコダテホンセン,JR函館本線(函館～長万部),,,,140.4833696755387,42.23981411231523,9,0,11101
11102,1,JR函館本線(長万部～小樽),ハコダテホンセン,JR函館本線(長万部～小樽),,,,140.64288780797756,42.919910231257624,9,0,11102
11103,1,JR函館本線(小樽～旭川),ハコダテホンセン,JR函館本線(小樽～旭川),,,,141.69791081566132,43.41509739716935,9,0,11103
11104,1,JR室蘭本線(長万部・室蘭～苫小牧),ムロランホンセン,JR室蘭本線(長万部・室蘭～苫小牧),,,,141.00639370749377,42.570716742880634,9,0,11104
11105,1,JR室蘭本線(苫小牧～岩見沢),ムロランホンセン,JR室蘭本線(苫小牧～岩見沢),,,,141.74449907924247,42.93841714361782,10,0,11105
11106,1,JR根室本線(滝川～新得),ネムロホンセン,JR根室本線(滝川～新得),,,,142.33553315885752,43.35975106210286,10,0,11106
11107,1,JR根室本線(新得～釧路),ネムロホンセン,JR根室本線(新得～釧路),,,,143.56474408569,42.965674701143044,9,0,11107
11108,1,花咲線,ハナサキセン,JR根室本線(釧路～根室),,,,145.06428821168254,43.127554624234754,9,0,11108
11109,1,JR千歳線,チトセセン,JR千歳線,,,,141.56756876161444,42.88585086761011,10,0,11109
11110,1,JR石勝線,セキショウセン,JR石勝線,,,,142.1208103432325,42.97760967295123,9,0,11110
11111,1,JR日高本線,ヒダカホンセン,JR日高本線,,,,142.18922814999996,42.43948997730969,9,0,11111
11112,1,JR札沼線,サッショウセン,JR札沼線,,,,141.6575100609375,43.33044877643186,10,0,11112
11113,1,JR留萌本線,ルモイホンセン,JR留萌本線,,,,141.76379195252093,43.84733116708823,10,0,11113
11114,1,JR富良野線,フラノセン,JR富良野線,,,,142.42933338107753,43.60983839136586,10,0,11114
11115,1,JR宗谷本線,ソウヤホンセン,JR宗谷本線,,,,142.22561395814,44.65872969562157,8,0,11115
11116,1,JR石北本線,セキホクホンセン,JR石北本線,,,,143.36294609598497,43.96138769857782,8,0,11116
11117,1,JR釧網本線,センモウホンセン,JR釧網本線,,,,144.43376556585247,43.52373901301899,9,0,11117
11118,1,JR海峡線,カイキョウセン,JR海峡線,,,,140.32904703906252,41.36657456566204,9,0,11118
11119,1,JR江差線,エサシセン,JR江差線,,,,140.4168208243981,41.77538189770945,10,2,11119
11201,2,JR東北本線(八戸～青森),トウホクホンセン,JR東北本線(八戸～青森),,,,141.14722775976566,40.69791852440822,10,2,11201
11202,2,JR奥羽本線(新庄～青森),オウウホンセン,JR奥羽本線(新庄～青森),,,,140.44271734754,39.922270662793785,8,0,11202
