station_code,line_code,index,numbering
100201,1002,1,NULL
100202,1002,2,NULL
100203,1002,3,NULL
100204,1002,4,NULL
100205,1002,5,NULL
100206,1002,6,NULL
100207,1002,7,NULL
100208,1002,8,NULL
100209,1002,9,NULL
100210,1002,10,NULL
100211,1002,11,NULL
100212,1002,12,NULL
100213,1002,13,NULL
100214,1002,14,NULL
100215,1002,15,NULL
100216,1002,16,NULL
100217,1002,17,NULL
100217,1003,1,NULL
100302,1003,2,NULL
100303,1003,3,NULL
100304,1003,4,NULL
100305,1003,5,NULL
100306,1003,6,NULL
100307,1003,7,NULL
100308,1003,8,NULL
100309,1003,9,NULL
100310,1003,10,NULL
100311,1003,11,NULL
100312,1003,12,NULL
100313,1003,13,NULL
100314,1003,14,NULL
100315,1003,15,NULL
100316,1003,16,NULL
100317,1003,17,NULL
100318,1003,18,NULL
100319,1003,19,NULL
100201,1004,1,NULL
100402,1004,2,NULL
100403,1004,3,NULL
100404,1004,4,NULL
100405,1004,5,NULL
100406,1004,6,NULL
100407,1004,7,NULL
100408,1004,8,NULL
100409,1004,9,NULL
100410,1004,10,NULL
100411,1004,11,NULL
100412,1004,12,NULL
100413,1004,13,NULL
100414,1004,14,NULL
100415,1004,15,NULL
100416,1004,16,NULL
100417,1004,17,NULL
100418,1004,18,NULL
100419,1004,19,NULL
100420,1004,20,NULL
100421,1004,21,NULL
100422,1004,22,NULL
100423,1004,23,NULL
100201,1005,1,NULL
100402,1005,2,NULL
100403,1005,3,NULL
100504,1005,4,NULL
100505,1005,5,NULL
100506,1005,6,NULL
100507,1005,7,NULL
100508,1005,8,NULL
100509,1005,9,NULL
100510,1005,10,NULL
100511,1005,11,NULL
100512,1005,12,NULL
100508,1006,1,NULL
100602,1006,2,NULL
100506,1009,1,NULL
100902,1009,2,NULL
100903,1009,3,NULL
100904,1009,4,NULL
100905,1009,5,NULL
100906,1009,6,NULL
100907,1009,7,NULL
100908,1009,8,NULL
100909,1009,9,NULL
100910,1009,10,NULL
100911,1009,11,NULL
100912,1009,12,NULL
100913,1009,13,NULL
100319,1010,1,NULL
101002,1010,2,NULL
101003,1010,3,NULL
101004,1010,4,NULL
101005,1010,5,NULL
101006,1010,6,NULL
101007,1010,7,NULL
101008,1010,8,NULL
101009,1010,9,NULL
101010,1010,10,NULL
101011,1010,11,NULL
101012,1010,12,NULL
100423,1011,1,NULL
101102,1011,2,NULL
101103,1011,3,NULL
101104,1011,4,NULL
1110101,11101,1,H75
1110102,11101,2,H74
1110103,11101,3,H73
1110104,11101,4,H72
1110105,11101,5,H71
101104,11101,6,H70
1110107,11101,7,H69
1110108,11101,8,H68
1110109,11101,9,H67
1110110,11101,10,H66
1110111,11101,11,H65
1110112,11101,12,H64
1110113,11101,13,H63
1110114,11101,14,N71
1110115,11101,15,N70
1110116,11101,16,N69
1110117,11101,17,N68
1110118,11101,18,N67
1110119,11101,19,N66
1110120,11101,20,N65
1110121,11101,21,N64
1110122,11101,22,N63
1110123,11101,23,H62
1110124,11101,24,H61
1110125,11101,25,H60
1110126,11101,26,H59
1110127,11101,27,H58
1110128,11101,28,H57
1110129,11101,29,H56
1110130,11101,30,H55
1110131,11101,31,H54
1110132,11101,32,H53
1110133,11101,33,H52
1110134,11101,34,H51
1110135,11101,35,H50
1110136,11101,36,H49
1110137,11101,37,H48
1110138,11101,38,H47
1110138,11102,1,H47
1110202,11102,2,S32
1110203,11102,3,S31
